Cuntrycd,Stkcd,Stknme,Conme,Conme_en,Indcd,Indnme,Nindcd,Nindnme,Nnindcd,Nnindnme,Estbdt,Listdt,Favaldt,Curtrd,Ipoprm,Ipoprc,Ipocur,Nshripo,Parvcur,Ipodt,Parval,Sctcd,Statco,Crcd,Statdt,Commnt,Markettype
10,2060,粤水电,广东水电二局股份有限公司,"Guangdong No.2 Hydropower Engineering Company, Ltd.",3,房地产,E01,土木工程建筑业,E48,土木工程建筑业,2001/12/27,2006/8/10,2006/8/10,CNY,4.09,5.09,CNY,82000,CNY,2006/7/31,1,2,A,,2017/12/5,,4
10,2061,江山化工,浙江江山化工股份有限公司,"Zhejiang Jiangshan Chemical Co., Ltd.",5,工业,C43,化学原料及化学制品制造业,C26,化学原料及化学制品制造业,1998/11/23,2006/8/16,2006/8/16,CNY,5,6,CNY,38000,CNY,2006/8/2,1,2,A,,2017/12/5,,4
10,2062,宏润建设,宏润建设集团股份有限公司,"HONGRUN CONSTRUCTION GROUP CO., LTD.",3,房地产,E01,土木工程建筑业,E48,土木工程建筑业,1994/12/29,2006/8/16,2006/8/16,CNY,8.18,9.18,CNY,28500,CNY,2006/8/4,1,2,A,,2017/12/5,,4
10,2063,远光软件,远光软件股份有限公司,YGSOFT INC.,2,公用事业,G87,计算机应用服务业,I65,软件和信息技术服务业,2001/8/13,2006/8/23,2006/8/23,CNY,4.8,5.8,CNY,27500,CNY,2006/8/7,1,2,A,,2017/12/5,,4
10,2064,华峰氨纶,浙江华峰氨纶股份有限公司,"ZHEJIANG HUAFENG SPANDEX CO., LTD.",5,工业,C47,化学纤维制造业,C28,化学纤维制造业,1999/12/15,2006/8/23,2006/8/23,CNY,5.7,6.7,CNY,35500,CNY,2006/8/7,1,2,A,,2017/12/5,,4
10,2065,东华软件,东华软件股份公司,"DHC Software Co., Ltd.",2,公用事业,G87,计算机应用服务业,I65,软件和信息技术服务业,2002/1/24,2006/8/23,2006/8/23,CNY,13.5,14.5,CNY,21600,CNY,2006/8/10,1,2,A,,2017/12/5,,4
10,2066,瑞泰科技,瑞泰科技股份有限公司,"Ruitai Materials Technology Co., Ltd.",5,工业,C61,非金属矿物制品业,C30,非金属矿物制品业,2001/12/30,2006/8/23,2006/8/23,CNY,5.03,6.03,CNY,15000,CNY,2006/8/9,1,2,A,,2017/12/5,,4
10,2067,景兴纸业,浙江景兴纸业股份有限公司,"Zhejiang Jingxing Paper Joint Stock Co., Ltd.",5,工业,C31,造纸及纸制品业,C22,造纸及纸制品业,2001/9/26,2006/9/15,2006/9/15,CNY,3.16,4.16,CNY,80000,CNY,2006/8/31,1,2,A,,2017/12/5,,4
10,2068,黑猫股份,江西黑猫炭黑股份有限公司,"JIANGXI BLACK CAT CARBON BLACK CO., LTD.",5,工业,C43,化学原料及化学制品制造业,C26,化学原料及化学制品制造业,2001/7/12,2006/9/15,2006/9/15,CNY,6.4,7.4,CNY,35000,CNY,2006/9/6,1,2,A,,2017/12/5,,4
10,2069,獐子岛,獐子岛集团股份有限公司,"ZHANGZIDAO GROUP CO.,LTD.",4,综合,A07,渔业,A04,渔业,1992/9/21,2006/9/28,2006/9/28,CNY,24,25,CNY,28300,CNY,2006/9/13,1,2,A,,2018/2/5,,4
10,2070,*ST 众和,福建众和股份有限公司,"ZHONGHE CO., LTD.",5,工业,C11,纺织业,C17,纺织业,2002/2/25,2006/10/12,2006/10/12,CNY,7.84,8.84,CNY,27000,CNY,2006/9/21,1,2,N,,2018/2/2,,4
10,2071,长城影视,长城影视股份有限公司,"Great Wall Movie and Television Co.,Ltd.",2,公用事业,L10,广播电影电视业,R86,广播、电视、电影和影视录音制作业,2001/12/4,2006/10/12,2006/10/12,CNY,2.88,3.88,CNY,50000,CNY,2006/9/22,1,2,A,,2018/2/12,,4
10,2072,凯瑞德,凯瑞德控股股份有限公司,"KAIRUIDE HOLDING CO. , LTD.",2,公用事业,G87,计算机应用服务业,I64,互联网和相关服务,2000/6/12,2006/10/18,2006/10/18,CNY,2.24,3.24,CNY,70000,CNY,2006/9/25,1,2,N,,2017/12/7,,4
10,2073,软控股份,软控股份有限公司,"Mesnac Co., Ltd.",5,工业,C73,专用设备制造业,C35,专用设备制造业,2000/12/28,2006/10/18,2006/10/18,CNY,25,26,CNY,18000,CNY,2006/10/9,1,2,N,,2018/2/2,,4
10,2074,国轩高科,国轩高科股份有限公司,"GUOXUAN HIGH-TECH CO.,LTD.",5,工业,C76,电器机械及器材制造业,C38,电气机械及器材制造业,1998/11/19,2006/10/18,2006/10/18,CNY,6.88,7.88,CNY,24000,CNY,2006/9/25,1,2,A,,2017/12/5,,4
10,2075,沙钢股份,江苏沙钢股份有限公司,"Jiangsu Shagang Co., Ltd.",5,工业,C65,黑色金属冶炼及压延加工业,C31,黑色金属冶炼及压延加工业,1999/9/28,2006/10/25,2006/10/25,CNY,3.25,4.25,CNY,90000,CNY,2006/10/10,1,2,N,,2016/9/19,,4
10,2076,雪莱特,广东雪莱特光电科技股份有限公司,"CNlight Co., Ltd.",5,工业,C76,电器机械及器材制造业,C38,电气机械及器材制造业,2004/10/21,2006/10/25,2006/10/25,CNY,5.86,6.86,CNY,26000,CNY,2006/10/10,1,2,N,,2018/2/6,,4
10,2077,大港股份,江苏大港股份有限公司,"Jiangsu Dagang Co., Ltd.",3,房地产,J01,房地产开发与经营业,K70,房地产业,2000/4/20,2006/11/16,2006/11/16,CNY,4.3,5.3,CNY,60000,CNY,2006/10/30,1,2,A,,2008/8/14,,4
