prov_name,指标,地区生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),农林牧渔业增加值(亿元),工业增加值(亿元),建筑业增加值(亿元),批发和零售业增加值(亿元),批发和零售贸易餐饮业增加值(亿元),交通运输、仓储和邮政业增加值(亿元),交通运输、仓储和邮电通信业增加值(亿元),住宿和餐饮业增加值(亿元),金融业增加值(亿元),房地产业增加值(亿元),其他行业增加值(亿元),人均地区生产总值(元/人)
河北省,2016,32070.45,3492.81,15256.93,13320.71,3644.82,13387.46,1885.27,2536.85,NA,2369.27,NA,440.39,1731.23,1488.42,4586.74,43062
河北省,2015,29806.11,3439.45,14386.87,11979.79,3578.7,12626.17,1780.49,2381.23,NA,2359.09,NA,404.43,1480.92,1313.62,3881.5,40255
河北省,2014,29421.15,3447.46,15012.85,10960.84,3576.48,13330.66,1703.63,2255.13,NA,2396.4,NA,399.86,1347.58,1119.78,3291.63,39984
河北省,2013,28442.95,3381.98,14781.85,10279.12,3500.42,13194.76,1600.15,2148.95,NA,2345.1,NA,377.82,1137.72,1063.09,3074.94,38909
河北省,2012,26575.01,3186.66,14003.57,9384.78,3186.66,12511.6,1491.97,2024.29,NA,2212.93,NA,388.87,913.66,982.05,2862.98,36584
河北省,2011,24515.76,2905.73,13126.86,8483.17,2905.73,11770.38,1356.48,1780.63,NA,2046.22,NA,338.91,746.01,918.02,2653.38,33969
河北省,2010,20394.26,2562.81,10707.68,7123.77,2562.81,9554.03,1153.65,1529.26,NA,1745.91,NA,265.02,615.42,697.79,2270.37,28668
河北省,2009,17235.48,2207.34,8959.83,6068.31,2207.34,7983.86,975.97,1157.8,NA,1491.92,NA,247.14,525.67,612.4,2033.38,24581
河北省,2008,16011.97,2034.59,8701.34,5276.04,2034.59,7891.54,809.8,988.89,NA,1337.54,NA,222.89,420.74,513.81,1792.17,22986
河北省,2007,13607.32,1804.72,7201.88,4600.72,1804.72,6515.32,686.56,836.9,NA,1155.62,NA,203.83,347.65,467.97,1588.75,19662
河北省,2006,11467.6,1461.81,6110.43,3895.36,1461.81,5485.96,624.47,761.35,NA,938.52,NA,175.45,284.04,397.14,1338.86,16894
河北省,2005,10012.11,1400,5271.57,3340.54,1400,4704.28,567.29,697.61,NA,790.19,NA,167.31,213.47,330.87,1141.09,14782
河北省,2004,8477.63,1370.43,4301.73,2805.47,1370.43,3812.31,489.42,539.08,NA,585.37,NA,106.05,209.1,231.08,1134.79,12487
河北省,2003,6921.29,1064.05,3417.56,2439.68,1064.05,3009.92,407.64,NA,557.33,NA,609.09,NA,199.87,185.19,888.2,10251
河北省,2002,6018.28,956.84,2911.69,2149.75,956.84,2580.89,330.8,NA,521.81,NA,553.17,NA,179.6,140.89,754.27,8960
河北省,2001,5516.76,913.82,2696.63,1906.31,913.82,2378.04,318.59,NA,488.61,NA,498.03,NA,167.29,118.13,634.25,8251
河北省,2e3,5043.96,824.55,2514.96,1704.45,824.55,2201.73,313.23,NA,459,NA,415.79,NA,183.77,99.53,546.36,7592
河北省,1999,4514.19,805.97,2188.59,1519.63,805.97,1895.21,293.38,NA,411.54,NA,359.85,NA,199.4,85.71,463.13,6849
河北省,1998,4256.01,790.6,2084.33,1381.08,790.6,1822.05,262.28,NA,386.96,NA,313.4,NA,204.22,77.11,399.39,6501
河北省,1997,3953.78,761.76,1934.38,1257.64,761.76,1701.42,232.96,NA,355.8,NA,276.61,NA,202.98,68.31,353.94,6079
山西省,2016,13050.41,784.78,5028.99,7236.64,827.32,4148.91,895.63,1058.12,NA,930.75,NA,375.75,1207.35,698.53,2908.05,35532
山西省,2015,12766.49,783.16,5194.27,6789.06,829.1,4359.6,847.22,1077.11,NA,892.81,NA,350.72,1140.54,639.07,2635.32,34919
山西省,2014,12761.49,788.89,6293.91,5678.69,827.45,5471.01,826.95,990.04,NA,797.13,NA,299.16,897.26,598.07,2053.67,35070
山西省,2013,12665.25,741.01,6613.06,5311.18,776.58,5842.14,774.5,971.53,NA,782.49,NA,272.98,809.9,563.01,1872.12,34984
山西省,2012,12112.83,698.32,6731.56,4682.95,698.32,6023.55,708.01,991.08,NA,847.44,NA,299.67,639.61,301.88,1603.27,33628
山西省,2011,11237.55,641.42,6635.26,3960.87,641.42,5959.96,675.3,846.65,NA,756.29,NA,261.33,519.32,224.91,1352.37,31357
山西省,2010,9200.86,554.48,5234,3412.38,554.48,4657.97,576.03,695.51,NA,654.08,NA,231.62,448.3,192,1190.87,26283
山西省,2009,7358.31,477.59,3993.8,2886.92,477.59,3518.88,474.92,557.86,NA,523.38,NA,203.58,361.64,173.31,1067.15,21522
山西省,2008,7315.4,313.58,4242.36,2759.46,313.58,3868.54,373.82,480.92,NA,650.19,NA,172.42,290.91,166.04,998.98,21506
山西省,2007,6024.45,311.97,3454.49,2257.99,311.97,3141.89,312.6,384.63,NA,546.31,NA,137.3,218.73,134.12,836.9,17805
山西省,2006,4878.61,276.77,2755.66,1846.18,276.77,2485.06,270.6,315.64,NA,441.03,NA,113.39,169.63,117.01,689.48,14106
