prov_name,指标,城镇单位就业人员平均工资(元),农、林、牧、渔业城镇单位就业人员平均工资(元),采矿业城镇单位就业人员平均工资(元),制造业城镇单位就业人员平均工资(元),电力、燃气及水的生产和供应业城镇单位就业人员平均工资(元),建筑业城镇单位就业人员平均工资(元),交通运输、仓储和邮政业城镇单位就业人员平均工资(元),信息传输、计算机服务和软件业城镇单位就业人员平均工资(元),批发和零售业城镇单位就业人员平均工资(元),住宿和餐饮业城镇单位就业人员平均工资(元),金融业城镇单位就业人员平均工资(元),房地产业城镇单位就业人员平均工资(元),租赁和商务服务业城镇单位就业人员平均工资(元),科学研究、技术服务和地质勘查业城镇单位就业人员平均工资(元),水利、环境和公共设施管理业城镇单位就业人员平均工资(元),居民服务和其他服务业城镇单位就业人员平均工资(元),教育城镇单位就业人员平均工资(元),卫生、社会保障和社会福利业城镇单位就业人员平均工资(元),文化、体育和娱乐业城镇单位就业人员平均工资(元),公共管理和社会组织城镇单位就业人员平均工资(元)
内蒙古自治区,2010,35211,18292,42248,30024,48860,24946,39991,37530,24342,21335,45588,26475,31840,40047,27729,39550,43397,38375,37805,40338
内蒙古自治区,2009,30486,15017,37156,25603,44207,23219,34578,32557,21699,18227,40945,23424,26737,35184,24784,30494,37305,33610,32545,34825
内蒙古自治区,2008,25949,13189,32123,22352,40921,17679,31163,29325,18470,16108,35824,20480,22445,31047,20209,27723,30434,28880,27861,29791
内蒙古自治区,2007,21794,11574,27317,19127,36701,15438,26108,26459,15051,13384,28643,17735,19395,28080,18272,22495,25397,24092,23702,24354
内蒙古自治区,2006,18382,10148,21582,15678,32959,13290,22570,25962,13631,12004,23521,15145,17398,23721,14624,19671,21289,20414,20776,20336
辽宁省,2016,56015,15497,55363,56546,69357,43585,66657,88995,47382,38871,80323,53808,43422,70180,34416,39022,66890,62230,52202,55348
辽宁省,2015,52332,14360,56332,51623,65747,42319,65044,83665,45681,37435,83537,49813,41209,66150,32406,36726,61114,56455,49918,50389
辽宁省,2014,48190,12976,58246,49585,59557,40115,59951,78751,43444,37156,77949,46517,37387,62443,29722,34864,51281,50054,46833,43248
辽宁省,2013,45505,13058,56411,45416,55207,38992,55620,72837,40569,33121,73851,44905,34439,59624,29565,34562,50032,48430,46818,42162
辽宁省,2012,41858,12050,54082,39507,51600,34379,51268,66914,35462,30494,69453,36022,30353,55447,27866,32718,47968,44874,43515,41363
辽宁省,2011,38154,11478,49014,36417,46134,30332,43728,60766,31952,26046,60859,32183,28859,54741,26725,28378,44795,40713,40272,39177
辽宁省,2010,34437,10040,41238,32126,42658,27535,38451,56013,28616,21613,53676,28147,24598,48030,24753,25101,41656,36638,36478,36941
辽宁省,2009,30523,8832,35463,28218,36322,24399,32639,53818,25715,18331,45038,25727,21352,42903,23254,21408,38221,32341,34781,33998
辽宁省,2008,27179,7517,36040,25669,34361,20891,28745,49237,22694,16624,39968,22408,17420,37816,18975,18338,31762,27657,29565,31561
辽宁省,2007,22882,7354,27349,21572,31145,17118,24998,41454,19242,14222,34247,18814,14504,31480,15352,15919,26039,23512,24959,27519
辽宁省,2006,19365,6619,23900,18515,26112,15194,22219,39360,16691,13683,28549,16635,12918,26377,13672,15524,20297,20355,22095,21414
吉林省,2016,56098,33042,51883,58250,70925,44968,62053,64923,43419,34173,81958,44670,45219,62900,33912,32797,65436,63307,55335,54321
吉林省,2015,51558,29744,51885,54452,66192,40803,58488,63448,40854,32178,75102,44444,40714,59844,31578,31535,58835,53409,50810,48061
吉林省,2014,46516,25610,53814,52057,59153,37119,54654,56439,37522,30091,71894,39308,36692,53062,27992,32385,47658,46127,40313,40366
吉林省,2013,42846,23249,49884,46613,53553,35730,48587,49288,34569,27189,66938,38598,33392,49805,24552,28343,44988,44311,37367,38028
吉林省,2012,38407,21126,40363,40216,41850,31185,45290,44257,31326,25042,59995,33489,36187,49835,21804,31513,40918,41304,34017,36945
吉林省,2011,33610,19467,35981,35704,35601,26578,38722,38956,27082,21901,54512,27748,31161,46102,20112,27373,36211,33065,30467,31765
吉林省,2010,29003,15220,33584,31153,33044,21165,30422,33772,22999,17594,43174,23153,23918,38732,18375,17511,31548,28476,26684,29247
吉林省,2009,25943,13636,31757,26119,29419,19408,26539,30803,20018,14881,36473,21227,23041,33927,15926,16190,29305,25948,25159,27164
吉林省,2008,23294,12039,29163,24036,28807,16017,23845,29854,17642,14920,30675,18539,22500,30112,14585,13479,26372,22555,21842,24427
吉林省,2007,20371,9402,24294,21004,25604,14177,20111,29933,15135,12726,27335,16795,20118,26013,12972,12995,23363,19908,19468,22594
吉林省,2006,16393,7866,22018,16643,21489,11801,17180,25792,12877,11466,21709,14626,16750,19956,10964,14479,17875,15412,15710,17281
黑龙江省,2016,52435,28782,59875,49775,64919,39922,62977,62707,48576,44807,64737,45376,48066,68514,35519,55411,68288,62122,55056,59837
黑龙江省,2015,48881,28592,54707,45422,62714,37948,58601,64070,44615,42095,65140,44447,44945,66168,32980,50275,62673,55776,50931,53007
黑龙江省,2014,44036,25816,56472,43254,58085,37389,56406,59055,41602,39387,58112,40002,39918,62073,28993,52333,49503,47659,43083,43143
黑龙江省,2013,40794,23824,56637,39691,54211,36776,50797,55854,38401,36746,57390,36885,39156,60631,27025,49101,43527,43211,39644,39325
黑龙江省,2012,36406,20830,49530,36787,46604,32089,44616,50042,33028,30504,55849,31379,36599,57107,23666,42918,39994,39712,36117,36472
黑龙江省,2011,31302,15069,44726,31197,40677,26155,37930,45331,28649,23462,49143,26558,32841,47545,20115,35488,37095,36158,32918,34016
黑龙江省,2010,27735,12916,39793,26764,36613,22904,31501,40416,25702,20804,42537,21881,28238,39938,18663,29803,34630,32095,29827,31568
黑龙江省,2009,24805,11079,33417,23894,32767,20610,28074,37803,21693,19778,37056,20254,21157,42405,16502,25848,31400,29432,28140,30699
黑龙江省,2008,21764,10017,27869,21093,28481,19067,24833,35752,19052,17790,33742,17980,17961,34096,14295,21807,27495,25782,25543,27619
黑龙江省,2007,18481,8383,24144,17528,24826,17059,21222,33781,15681,14724,28110,16166,15700,25658,13046,15613,24674,22336,22033,23428
黑龙江省,2006,15894,7093,21120,14998,21004,15926,18936,32034,14222,13665,24362,14214,13304,21992,10996,13653,19389,18262,17629,19289
上海市,2016,119935,67322,142716,96813,163212,88034,108905,200657,127489,56933,226500,91814,151937,163297,78432,66280,106941,125181,129644,107325
上海市,2015,109174,62828,122414,86536,153467,80941,98996,183365,117396,52999,208658,82274,145659,158906,73137,62576,100865,117092,117099,100767
上海市,2014,100251,57514,114879,79795,143613,73620,88929,170174,107673,49418,195718,72185,135268,152258,63973,59289,96165,113142,96303,95569
上海市,2013,90908,55329,113338,71305,125279,65134,77999,153989,100692,45169,181909,67231,129430,141766,59119,54276,89333,107891,90056,91983
上海市,2012,78673,50484,103785,65032,113596,51894,71062,127888,91658,40916,174682,69810,82287,129633,52200,43525,85662,103905,83701,90622
上海市,2011,75591,45858,95958,61491,101211,59603,65455,120196,82882,38462,170086,62340,76802,120307,48431,43413,82315,92619,81409,89882
上海市,2010,66115,39575,62356,52163,93049,69051,58405,115524,61509,32815,155763,48306,60905,83338,44376,35226,69738,73470,68533,73073
上海市,2009,58336,38093,59946,46672,83958,62308,49847,101367,52553,29564,134581,45903,53146,76108,41240,30875,61763,66826,62422,65919
上海市,2008,52122,29615,61381,42311,72262,55114,47143,91097,49606,28323,116636,45459,43996,75642,40055,17975,56221,62764,55888,58721
上海市,2007,44976,26646,58727,37975,62211,46188,43776,83317,38402,27582,92914,37436,39673,61501,33721,24712,45833,51297,51651,48285
上海市,2006,37585,22271,69929,34206,49670,37379,34915,74360,30174,24255,66016,33461,32351,47822,29508,20762,37819,41849,43701,41018
