prov_name,指标,城镇单位就业人员(万人),农林牧渔业城镇单位就业人员(万人),采矿业城镇单位就业人员(万人),制造业城镇单位就业人员(万人),电力、燃气及水的生产和供应业城镇单位就业人员(万人),建筑业城镇单位就业人员(万人),交通运输、仓储及邮电通信业城镇单位就业人员(万人),信息传输、计算机服务和软件业城镇单位就业人员(万人),批发和零售业城镇单位就业人员(万人),住宿和餐饮业城镇单位就业人员(万人),金融业城镇单位就业人员(万人),房地产业城镇单位就业人员(万人),租赁和商务服务业城镇单位就业人员(万人),科学研究、技术服务和地质勘查业城镇单位就业人员(万人),水利、环境和公共设施管理业城镇单位就业人员(万人),居民服务和其他服务业城镇单位就业人员(万人),教育业城镇单位就业人员(万人),卫生、社会保障和社会福利业城镇单位就业人员(万人),文化、体育和娱乐业城镇单位就业人员(万人),公共管理和社会组织城镇单位就业人员(万人)
山西省,2011,409.69,3.24,85.7,70.19,10.34,25.14,21.87,4.93,18.07,4.89,15.04,2.06,5.48,6.08,6.96,0.71,49.2,16.73,4.61,58.44
山西省,2010,394.4,3.2,79.6,71.7,9.9,22.5,20.4,4.1,17.6,4.2,13.8,2.6,6.4,6,6.4,0.7,48.6,16.1,4.6,55.9
山西省,2009,385.8,2.58,75.03,69.79,9.91,22.55,21.27,4.29,17.88,4.21,13.99,2.68,6.23,5.89,5.95,0.75,47.95,15.29,4.61,54.93
山西省,2008,375.18,3.5,71.67,70.33,10.58,19.83,22.05,4.56,17.86,4.11,13.9,1.47,6.3,5.9,5.62,0.76,49.13,14.97,4.79,47.87
内蒙古自治区,2016,293.24,22.88,16.58,43.85,14.55,18.94,22.78,4.85,8.91,3.69,11.77,5.48,4.22,5.9,8.27,0.83,35.08,15.7,3.53,45.42
内蒙古自治区,2015,298.27,23.55,17.91,46.69,14.25,21.58,20.64,5.02,9.61,4.07,11.57,5.4,4.61,6.32,8.09,0.87,35.15,15.25,3.45,44.24
内蒙古自治区,2014,301.45,23.83,20.38,46.28,13.99,22.91,21.31,5.02,10.5,4.26,11.33,5.03,4.47,6.22,8.28,0.92,35.38,14.78,3.54,43.02
内蒙古自治区,2013,303.84,24.08,21.54,47.52,13.36,25.49,21.68,5.85,11.36,4.59,11.08,4.84,4.38,6.1,8.17,1,35.13,13.93,3.48,40.26
内蒙古自治区,2012,270.77,24.99,21.47,42.67,11.97,18.25,16.95,4.41,7.98,2.89,10.79,1.84,3.15,4.88,7.81,0.73,34.79,12.88,3.28,39.04
内蒙古自治区,2011,262.39,26.19,20.55,40.01,11.08,16.71,16.4,4.2,7.59,2.68,10.44,2.01,2.9,4.4,7.78,2.12,34.6,12.84,3.26,36.63
内蒙古自治区,2010,249.2,26.7,18.5,37.2,10.1,13.6,16.3,3.9,6.7,2.4,10.1,1.5,2.8,4.3,7.3,2,34.7,12.3,3.3,35.3
内蒙古自治区,2009,245.83,26.77,17.88,37.76,10.07,13.69,16.24,3.91,6.58,2.28,9.92,1.45,2.85,4.24,6.88,2.06,34.25,11.75,3.28,33.98
内蒙古自治区,2008,244.83,27.75,17.29,39.33,9.73,13.41,15.85,3.75,6.83,2.46,9.02,1.51,2.99,4.17,6.51,2.37,34.37,11.32,3.26,32.91
辽宁省,2016,560.39,22.65,24.74,131.73,14.69,64.61,35.16,12.58,22.64,6.22,27,11.97,11.88,13.84,14.37,2.41,53.71,31.3,5.04,53.83
辽宁省,2015,618.39,22.47,28.75,150.63,14.59,83.67,36.11,13.29,25.77,6.75,26.01,13.29,11.85,15.91,15.9,2.56,57.98,33.67,5.1,54.1
辽宁省,2014,665.17,23.13,31.29,166.92,15.86,102.32,37.57,12.96,26.74,7.37,24.44,14.52,12.79,16.9,16.11,2.82,59.88,34.47,5.25,53.82
辽宁省,2013,689.07,23.32,34.03,179.46,16.45,112.05,37.66,12.71,27.72,8.08,23.21,14.04,13.26,16.9,15.89,2.8,59.06,33.38,5.54,53.52
辽宁省,2012,598.73,25.17,32.55,168.32,16.45,60.92,32.81,9.01,21.09,7.25,22.52,12.37,10.21,15.84,15.55,2.67,57.77,30.41,5.05,52.77
辽宁省,2011,579.58,26.54,33.07,167.57,17.1,47.89,32.94,8.47,22.03,7.3,22.42,11.54,12.57,13.86,14.22,3,55.13,28.12,5.24,50.58
辽宁省,2010,518.1,27.9,35.2,144.8,16.6,31.2,30.2,7,16.9,6.4,20.7,8.8,12.2,12,12.8,2.9,52.3,25.6,5.1,49.5
辽宁省,2009,509.55,27.61,35.46,146.01,16.25,29.47,31.78,6.08,17.15,6.71,20.19,7.46,10.08,10.82,11.47,2.37,50.86,24.51,5.4,49.87
辽宁省,2008,510.79,31.3,33.56,146.96,16.95,28.45,33.78,6.13,15.48,6.54,20.65,6.54,12.02,10.17,11.42,2.01,50.28,24.28,4.99,49.28
吉林省,2016,322.15,12.49,13.07,81.86,12.35,27.32,16.07,6.41,11.64,2.84,12.09,6.77,5.76,7.64,8.55,2.54,36.16,18.72,3.54,36.33
吉林省,2015,325.06,12.84,14.08,84.23,13,29.26,16.59,6.55,11.36,2.95,11.83,6.01,4.97,7.54,8.31,2.25,36.12,18.13,3.57,35.47
吉林省,2014,334.42,13.32,14.28,86.69,13.45,33.19,16.43,6.58,12.54,3.01,11.48,6.31,5.78,7.88,8.16,1.71,36.61,17.95,3.49,35.58
吉林省,2013,338.44,13.66,15.4,88.4,14.03,33.87,17.16,6.74,12.87,3.29,11.02,5.73,5.46,8.03,8.3,1.32,37.08,17.4,3.6,35.08
吉林省,2012,285.48,15.71,16.64,64.83,8.9,17.64,15.92,4.73,9.53,3.01,10.93,5.13,4.86,7.6,8.16,0.88,37.2,16.27,3.64,33.9
吉林省,2011,277.86,16.27,14.78,64.95,8.95,13.37,14.29,5.79,9.38,3.14,10.52,5.29,4.4,6.79,8.49,0.9,36.83,17.45,3.72,32.53
吉林省,2010,267.6,16.7,15.6,60.8,8.2,13.4,14.5,5.2,8.9,3,10.2,3.6,4.5,6.7,8.1,1.1,36.7,15.3,3.7,31.4
吉林省,2009,265.26,16.23,18.27,59.04,8.09,12.94,15.32,5.09,8.23,3.14,9.86,3.35,4.1,6.44,7.75,1.07,37.08,15.02,3.67,30.58
吉林省,2008,262.02,16.61,17.61,56.97,8.08,13.75,15.73,3.64,8.45,2.94,9.31,3.37,3.59,6.26,7.5,1.27,37.7,14.56,3.72,30.97
